id;name;description;priority;start_date;end_date
1;large dans la mesure où;d'entre;LOW;2024-12-17T05:16:44;2024-12-17T18:43:49
2;en outre de cuicui;plus zzzz fade;LOW;2024-12-17T04:33:46;2024-12-16T20:11:03
3;alors que;deçà;LOW;2024-12-17T02:33:51;2024-12-16T22:36:18
4;cuicui hôte;débattre adepte nonobstant;LOW;2024-12-17T14:14:06;2024-12-17T05:30:33
5;si bien que ha;étant donné que incorporer parlementaire;URGENT;2024-12-17T01:42:30;2024-12-17T04:43:58
6;tant que paf;spécialiste solliciter;URGENT;2024-12-17T10:32:11;2024-12-17T00:15:03
7;de façon à ce que de manière à ce que tout à fait;souvenir bof snob;URGENT;2024-12-17T09:48:41;2024-12-17T04:14:29
8;actionnaire ouf hé;conseil municipal;URGENT;2024-12-17T06:30:34;2024-12-17T08:24:49
9;chut coac coac;chef;NORMAL;2024-12-17T10:44:09;2024-12-17T10:57:34
10;loin;coupable pis;NORMAL;2024-12-17T17:58:24;2024-12-17T16:45:41
