id;title;description;status;due_date
1;responsable accueillir;à peine;TODO;2024-12-16T21:21:02
2;céans crac magenta;clientèle;IN_PROGRESS;2024-12-17T04:00:41
3;ouille;quand ? juriste;IN_PROGRESS;2024-12-16T23:57:04
4;du fait que porte-parole;proche de;DONE;2024-12-17T18:43:17
5;athlète;de par;TODO;2024-12-17T03:37:30
6;ensemble outre;réfléchir d'abord;DONE;2024-12-17T05:14:43
7;hôte circulaire;snif ressusciter;TODO;2024-12-17T04:21:03
8;depuis affranchir;jadis apprivoiser pin-pon;TODO;2024-12-17T09:05:37
9;touriste soit revêtir;à même dès que;IN_PROGRESS;2024-12-17T15:46:34
10;par suite de cot cot après que;actionnaire jeune enfant cocorico;TODO;2024-12-17T03:31:16
