id;title;description;status;due_date;is_completed
1;vorace;jeune enfant drelin;IN_PROGRESS;2024-12-17T11:31:49;false
2;lors;naguère;TODO;2024-12-16T21:23:27;true
3;main-d’œuvre risquer;de peur que;TODO;2024-12-17T09:46:41;true
4;alentour durant taire;coin-coin;DONE;2024-12-17T08:18:36;true
5;vlan aïe;membre de l’équipe ding;DONE;2024-12-17T00:15:19;false
6;fusiller;d’autant que debout;DONE;2024-12-17T16:11:17;true
7;responsable;renier membre à vie coin-coin;IN_PROGRESS;2024-12-16T21:27:52;false
8;sans alors que de manière à;insolite;DONE;2024-12-17T03:25:17;true
9;fonctionnaire a snif;passer;IN_PROGRESS;2024-12-17T15:21:56;false
10;rudement taper;tic-tac fonctionnaire;TODO;2024-12-17T04:04:48;true
